"race_dichotomized","exposure","outcome_PC2","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"social_relationships2_d","TGF_beta1","social_relationships2_dLow",-0.407280439588796,0.360918902906228,-1.12845416604465,-1.12767758491527,0.313116705737679,0.263152720811005
1,"social_relationships2_d","TGF_beta1","social_relationships2_dLow",-0.0898386604764335,0.312491609999786,-0.287491432094753,-0.732174364159901,0.552497043207034,0.776015090577307
0,"social_relationships2_d","VEGF","social_relationships2_dLow",-0.102865019366166,0.296039420027001,-0.347470682643496,-0.693762174860863,0.48803213612853,0.729326928021178
1,"social_relationships2_d","VEGF","social_relationships2_dLow",0.056877117298164,0.373593962545307,0.152243138274127,-0.711056270812957,0.824810505409284,0.880170440775954
0,"social_relationships2_d","IL_18","social_relationships2_dLow",0.010815616914249,0.284820077993854,0.0379735059074115,-0.557687638155621,0.579318871984119,0.969821726247344
1,"social_relationships2_d","IL_18","social_relationships2_dLow",-0.396577020069966,0.353503181776677,-1.12184851654462,-1.12321321686585,0.330059176725915,0.272181075669686
0,"social_relationships2_d","VILIP_1","social_relationships2_dLow",-0.328019237263584,0.184643772976849,-1.77649769594294,-0.696569750644125,0.0405312761169567,0.080190759802447
1,"social_relationships2_d","VILIP_1","social_relationships2_dLow",0.376369148569384,0.583317978120529,0.645221238992253,-0.822658127547004,1.57539642468577,0.524437200891486
0,"social_relationships2_d","IL_6","social_relationships2_dLow",-0.187572882979847,0.313225387410712,-0.598843166993661,-0.812773372944439,0.437627606984745,0.551296888761322
1,"social_relationships2_d","IL_6","social_relationships2_dLow",-0.352747570790351,0.182823267067322,-1.92944572345081,-0.728546178316099,0.0230510367353979,0.0646564105859035
0,"social_activities2_d","TGF_beta1","social_activities2_dLow",-0.371647198773063,0.465236993588336,-0.798834150970191,-1.30026412457699,0.556969727030869,0.427209322343487
1,"social_activities2_d","TGF_beta1","social_activities2_dLow",-0.0136614854166688,0.321680917659577,-0.0424690575868298,-0.674886081515583,0.647563110682246,0.966449248468214
0,"social_activities2_d","VEGF","social_activities2_dLow",-0.1828930401329,0.379510438290241,-0.481918339207912,-0.940399045400022,0.574612965134223,0.631434480866375
1,"social_activities2_d","VEGF","social_activities2_dLow",-0.112669450000051,0.383518689185251,-0.293778251692,-0.90100340589006,0.675664505889959,0.771259781059392
0,"social_activities2_d","IL_18","social_activities2_dLow",-0.0242547639802497,0.365422790918949,-0.066374524476853,-0.753641707405711,0.705132179445211,0.947277317408633
1,"social_activities2_d","IL_18","social_activities2_dLow",-0.208371435841201,0.369772632508239,-0.563512324932696,-0.96844996756636,0.551707095883957,0.577914342992581
0,"social_activities2_d","VILIP_1","social_activities2_dLow",-0.30106043036149,0.239611128018623,-1.2564542926324,-0.779326243604087,0.177205382881107,0.213314506308137
1,"social_activities2_d","VILIP_1","social_activities2_dLow",0.87097365586429,0.579678314169056,1.50251205638561,-0.320572183853076,2.06251949558166,0.145014473471383
0,"social_activities2_d","IL_6","social_activities2_dLow",0.5052134253136,0.398194473817866,1.26876051410167,-0.289586070953567,1.30001292158077,0.208916835147618
1,"social_activities2_d","IL_6","social_activities2_dLow",-0.332502525918623,0.19003345718575,-1.74970518793233,-0.723121891491012,0.0581168396537657,0.0919650799578196
0,"isolation_cat_d","TGF_beta1","isolation_cat_dHigh",-0.786777148866918,0.392762221539549,-2.00318947627628,-1.57073382420539,-0.00282047352844328,0.0492045596216673
1,"isolation_cat_d","TGF_beta1","isolation_cat_dHigh",0.541773699407986,0.41804491499339,1.29597007397292,-0.317529930035884,1.40107732885186,0.206372760273425
0,"isolation_cat_d","VEGF","isolation_cat_dHigh",-0.658268221072966,0.318869052717259,-2.0643841585237,-1.29473351413675,-0.0218029280091848,0.0428560107031994
1,"isolation_cat_d","VEGF","isolation_cat_dHigh",0.435448800910961,0.50795944194828,0.857251120760342,-0.608676785650333,1.47957438747225,0.399139165584617
0,"isolation_cat_d","IL_18","isolation_cat_dHigh",-0.378989860705876,0.312700403714967,-1.21199031470178,-1.00314247882803,0.245162757416281,0.22977295043341
1,"isolation_cat_d","IL_18","isolation_cat_dHigh",-0.426069154353134,0.491774206730082,-0.866391828856102,-1.43692551345206,0.584787204745794,0.394200540416332
0,"isolation_cat_d","VILIP_1","isolation_cat_dHigh",-0.306987146717982,0.206315791059256,-1.4879478935755,-0.718795189239595,0.10482089580363,0.141456312643216
1,"isolation_cat_d","VILIP_1","isolation_cat_dHigh",0.671824548758473,0.799510895927681,0.840294425229749,-0.971593634336614,2.31524273185356,0.408404523901351
0,"isolation_cat_d","IL_6","isolation_cat_dHigh",-0.553860924205888,0.34193002598406,-1.61980780310796,-1.23635611256216,0.128634264150382,0.109971376424641
1,"isolation_cat_d","IL_6","isolation_cat_dHigh",-0.117283192782738,0.268403789494412,-0.436965487721551,-0.668995083531806,0.43442869796633,0.665744168120705
0,"social_health2_d","TGF_beta1","social_health2_dPoor",-0.52921125240976,0.364116151840908,-1.4534132851129,-1.25599013331975,0.197567628500235,0.150777124681703
1,"social_health2_d","TGF_beta1","social_health2_dPoor",0.508135525829347,0.445790942069472,1.13985161625415,-0.408200879074793,1.42447193073349,0.264740457506426
0,"social_health2_d","VEGF","social_health2_dPoor",-0.664032478794509,0.289614624770834,-2.29281404321326,-1.242105689285,-0.085959268304022,0.0250047189883676
1,"social_health2_d","VEGF","social_health2_dPoor",0.286037214717057,0.542596685910065,0.527163586038687,-0.829286246481142,1.40136067591526,0.602549578342022
